training
lr, dw 0.0001 1e-08
test tensor(0.0529, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0485, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0439, grad_fn=<MeanBackward0>) dev tensor(9.9662e-05, grad_fn=<SelectBackward>)
test tensor(0.0409, grad_fn=<MeanBackward0>) dev tensor(6.7872e-05, grad_fn=<SelectBackward>)
test tensor(0.0357, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0325, grad_fn=<MeanBackward0>) dev tensor(8.2477e-05, grad_fn=<SelectBackward>)
test tensor(0.0301, grad_fn=<MeanBackward0>) dev tensor(4.9113e-05, grad_fn=<SelectBackward>)
test tensor(0.0268, grad_fn=<MeanBackward0>) dev tensor(4.6252e-05, grad_fn=<SelectBackward>)
test tensor(0.0234, grad_fn=<MeanBackward0>) dev tensor(4.3611e-05, grad_fn=<SelectBackward>)
test tensor(0.0197, grad_fn=<MeanBackward0>) dev tensor(6.6427e-05, grad_fn=<SelectBackward>)
test tensor(0.0173, grad_fn=<MeanBackward0>) dev tensor(4.9004e-05, grad_fn=<SelectBackward>)
test tensor(0.0135, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0111, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0102, grad_fn=<MeanBackward0>) dev tensor(7.2720e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-08
test tensor(0.1400, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1395, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1327, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1290, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1224, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1174, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1107, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1033, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0998, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0883, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0841, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0804, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0749, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0676, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
params,test_err, norm:  [ 0.5403893  -0.78263847] 0.01339715623120014 19.463818523504287 19.463818523504287
params,test_err, norm:  [ 0.54890136 -0.77820343] 0.013281409119319892 19.33347774854459 19.33347774854459
